Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,-,56153060,15598072,16473489,198355,16671844,,-,-,-,-
ESSENTIAL ENERGY,Essential Energy Generation Facility - Broken Hill Gas Turbine,F,NSW,0,0,0,0,0,0,On,NEM,Diesel,-
ESSENTIAL ENERGY,Corporate Total,C,-,0,0,0,0,0,,-,-,-,-
EWP AUSTRALIA PTY LTD,Columboola Solar Farm Hold Co Pty Ltd,F,QLD,1069886,297190,58,2676,2734,0,On,NEM,Solar,-
EWP AUSTRALIA PTY LTD,Corporate Total,C,-,1069886,297190,58,2676,2734,,-,-,-,-
FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,F,WA,99683,27690,19633,0,19633,0.71,Off,Off-grid,Gas,-
FENGATE EXMOUTH ENERGY SPV PTY LTD,Corporate Total,C,-,99683,27690,19633,0,19633,,-,-,-,-
FINLEY SOLAR HOLDINGS PTY LTD,Finley Solar Farm,F,NSW,980919,272477,0,843,843,0,On,NEM,Solar,-
FINLEY SOLAR HOLDINGS PTY LTD,Corporate Total,C,-,980919,272477,0,843,843,,-,-,-,-
FORTESCUE LTD,Solomon Power Station,F,WA,2270675,630743,316859,0,316859,0.5,Off,Off-grid,Gas,-
FORTESCUE LTD,Corporate Total,C,-,2270675,630743,316859,0,316859,,-,-,-,-
FS OAKEY 2 PTY LTD,Oakey 2 Solar Farm,F,QLD,358328,99536,0,0,0,0,On,NEM,Solar,-
FS OAKEY 2 PTY LTD,Corporate Total,C,-,358328,99536,0,0,0,,-,-,-,-
GENEX POWER LIMITED,Jemalong PV Asset Pty Ltd as Trustee for the Jemalong PV Asset Trust,F,NSW,404145,112262,0,632,632,0,On,NEM,Solar,-
GENEX POWER LIMITED,Kidston Solar One - Solar – Qld,F,QLD,395600,109889,0,1110,1110,0,On,NEM,Solar,-
GENEX POWER LIMITED,Corporate Total,C,-,799745,222152,0,1742,1742,,-,-,-,-
GENTARI RENEWABLES AUSTRALIA PTY LTD,Clermont Solar Farm,F,QLD,579402,160945,58,3434,3492,0,On,NEM,Solar,-
GENTARI RENEWABLES AUSTRALIA PTY LTD,Wemen Solar Farm,F,VIC,438948,121930,169,1267,1436,0,On,NEM,Solar,-
GENTARI RENEWABLES AUSTRALIA PTY LTD,Corporate Total,C,-,1018350,282875,227,4701,4928,,-,-,-,-
GENUITY PTY LTD,Callide C Power Station (facility),F,QLD,2817641,782678,675798,12240,688038,0.86,On,NEM,Black Coal,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. C S ENERGY LIMITED and GENUITY PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports."
GENUITY PTY LTD,Millmerran Power Station (facility),F,QLD,21140477,5872355,4890774,3209,4893983,0.83,On,NEM,Black Coal,-
GENUITY PTY LTD,Corporate Total,C,-,23958118,6655033,5566572,15449,5582021,,-,-,-,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Berrybank 2 Wind farm,F,VIC,830378,230661,79,932,1011,0,On,NEM,Wind,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Berrybank Wind farm,F,VIC,1785124,495868,124,1064,1188,0,On,NEM,Wind,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Crookwell 2 Wind farm,F,NSW,646669,179630,67,181,248,0,On,NEM,Wind,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Crookwell 3 Windfarm,F,NSW,0,0,867,0,867,0,On,NEM,Wind,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Cunderdin Solar/BESS,F,WA,0,0,831,0,831,0,On,SWIS,Solar,-
GLOBAL POWER GENERATION AUSTRALIA PTY LTD,Hawkesdale Windfarm,F,VIC,1336,371,429,67,496,1.16,On,NEM,Wind,-
